Algorithm,Dataset,Metric,Mean,Std,Min,Max,Median,Q25,Q75
Baseline MLR,validation,R2,0.40299478546235,0.2268140466698588,-0.09939592378705,0.7528092941646702,0.45171045740473614,0.21678455688445245,0.5831021703696151
Baseline MLR,validation,MSE,0.6022497727534227,0.22880655769480238,0.2493622212854174,1.1090538728033743,0.5531061444526987,0.4205601844713207,0.7900958168323716
Baseline MLR,validation,RMSE,0.7625041454573818,0.1468186809747633,0.499361814004052,1.0531162674668806,0.7435176177580364,0.6484988412281901,0.8887820258881647
Baseline MLR,validation,MAE,0.5862308357765347,0.12933313888424416,0.3507816716772035,0.8608942635631822,0.5712984428359116,0.4860628880580171,0.6830670994950574
Baseline MLR,validation,BIAS,0.05218561584806855,0.3784526421619683,-0.5630282991080224,0.7231067735036104,0.0071104137787076,-0.2404676426624027,0.39389080272445187
Baseline MLR,validation,SE,0.6727709341258836,0.12637992357615177,0.4771610422066248,0.9025592905667552,0.6705315160855132,0.601417323785431,0.753745364932079
Baseline MLR,test,R2,0.06875046825974777,0.46248785083490246,-1.4723017123982816,0.5831228546280303,0.1416168972029005,-0.014917577214806951,0.41238479021292174
Baseline MLR,test,MSE,1.2360140544830691,0.6138435125882601,0.553306061490999,3.281397261737545,1.139301060592566,0.7799205617506055,1.3470636460188885
Baseline MLR,test,RMSE,1.0830507480069536,0.2553195395996148,0.7438454553810213,1.8114627409189363,1.0672446430285765,0.8830028585792493,1.1606302652692269
Baseline MLR,test,MAE,0.9093056843057504,0.2571203300822411,0.5851298432684409,1.6471198889729182,0.8912503139138452,0.7383610311372639,0.9934303214527014
Baseline MLR,test,BIAS,-0.7429488026288864,0.45359923599477076,-1.6332457158554408,0.805274086162265,-0.8010856614558174,-0.9558525945649647,-0.497554601365386
Baseline MLR,test,SE,0.6988678504947657,0.06072033875270105,0.5893717952859994,0.8231289306245222,0.6987629999584383,0.6577645231419014,0.7288610069704944
Genetic MLR,validation,R2,0.7004305227890182,0.07488531645777217,0.3988903874314692,0.7753250827623097,0.7227288488985767,0.6753382922364963,0.7448633013420154
Genetic MLR,validation,MSE,0.3022011285343596,0.07554316733094003,0.2266486364856696,0.6063902270094244,0.2797069165823528,0.25737801789022635,0.3275137887593399
Genetic MLR,validation,RMSE,0.5463137193179451,0.062221367485330935,0.4760762927154319,0.7787106182719126,0.5288385387978023,0.5073117220077672,0.572206460690488
Genetic MLR,validation,MAE,0.42910259155858,0.06169927095772377,0.3564968472517574,0.6874339511911999,0.41116102672883315,0.39979894058910204,0.4560860350577106
Genetic MLR,validation,BIAS,0.18227121149950165,0.14638275635468687,-0.1730740990239497,0.5878332692631106,0.17896961479513024,0.1333271342215515,0.23963491820144328
Genetic MLR,validation,SE,0.4997349812852016,0.04868499361784006,0.4313598862650545,0.6311185844362808,0.48540817102555817,0.4680124647355203,0.513175170700338
Genetic MLR,test,R2,0.7353839429441068,0.16471705460191155,0.1930307750549934,0.8771076059689135,0.8041415107660456,0.7136447771529828,0.8437666381966642
Genetic MLR,test,MSE,0.3512153879441683,0.21862303019960563,0.163110660498954,1.0710612672238564,0.2599559378361239,0.20736292946875107,0.3800690018626142
Genetic MLR,test,RMSE,0.5712236862440462,0.16055578540011142,0.4038696082883113,1.0349208990178218,0.509858704491889,0.4553655048450131,0.6164813466170176
Genetic MLR,test,MAE,0.46864496358194435,0.15625922387028204,0.3125364352475981,0.9276599727071868,0.4015665598986592,0.36106477063934617,0.509559421453954
Genetic MLR,test,BIAS,0.2758650186720662,0.3029647117958239,-0.6864006256801437,0.9266190493926684,0.2684895132560998,0.15717220108338256,0.4408394308563162
Genetic MLR,test,SE,0.43377190993832604,0.029704284077247782,0.3978005659534052,0.5296080857643632,0.42641868259149485,0.41642024317035636,0.43487678782900624
