iteration,dataset,R2,MSE,RMSE,MAE,BIAS,SE
1,validation,0.47671333849756437,0.5278836186025715,0.7265559982565497,0.5376939873974522,-0.3074442124004293,0.6632705035254016
1,test,-0.0076906024996648,1.337471542060869,1.1564910471166083,0.9637061055512773,-0.8928757225517917,0.7401713067986634
2,validation,0.5710166437255346,0.43275187978279256,0.6578387946775354,0.4942647168952121,-0.40387534348621956,0.5231844698914235
2,test,0.07261345653870255,1.2308868488927813,1.1094534009559758,0.9004753127523075,-0.8593496391031498,0.7066401694027004
3,validation,-0.0024006977244976913,1.0112065652223534,1.0055876715743652,0.8608942635631822,0.7231067735036104,0.704075276574217
3,test,0.18944127486439977,1.0758254818977175,1.0372200739947706,0.8290874065606956,-0.7682671027440732,0.7017338901466416
4,validation,0.5331845146966647,0.47091635566272333,0.6862334556568365,0.5359065068266268,-0.4696290431303589,0.5041411760134907
4,test,0.31559400004728033,0.9083875009668749,0.9530936475325366,0.7383233553475613,-0.6263045275618574,0.72346359846922
5,validation,0.16857693120651274,0.8387269357950525,0.9158203621863037,0.7091069676975467,-0.22168450221708805,0.8952911787827665
5,test,-0.14686885655840753,1.5221978396124511,1.23377382028168,0.9993825364320625,-0.9241573990029042,0.8231289306245222
6,validation,0.6157778065939794,0.387597500039934,0.6225732888905,0.48507965505432526,-0.036189336980572105,0.6262113683630762
6,test,0.1690001541911934,1.1029562471548588,1.0502172380773698,0.882025315075383,0.805274086162265,0.6788896518679239
7,validation,0.5853887816220036,0.4182534858469328,0.646725201184346,0.4760552527373229,-0.24672868947750762,0.6023232225961479
7,test,0.359523878119713,0.8500809516923896,0.9219983469032846,0.762238503867144,-0.6422946016507396,0.6661089339024941
8,validation,0.1554700630099105,0.8519489449177466,0.9230108043342432,0.7037125274636679,0.4828096281832385,0.792603450145399
8,test,0.002637333265898212,1.323763643882194,1.150549279206325,0.9727733998943293,-0.9389974780369607,0.6695322244379023
9,validation,0.6394509098384958,0.3637164338411743,0.6030890762077973,0.4500567298193167,-0.0289908244998527,0.6069382889816665
9,test,-0.01594349384098348,1.348425308307526,1.1612171667296027,0.9938803160156101,-0.9729371740372174,0.6383400191699677
10,validation,0.5762423366124494,0.42748028034448454,0.6538197613597225,0.4968905656339784,0.24252025753649933,0.6117597782767608
10,test,-0.6722085780710476,2.2194623826124658,1.4897860190686667,1.3627742260909028,-1.3627742260909028,0.6061449760886832
11,validation,0.2017459202830436,0.8052665645162658,0.8973664605479,0.7296839596709045,0.3577097418253855,0.8291999653098021
11,test,0.11423364021460769,1.1756458740302733,1.0842720479797832,0.9196830120254652,-0.8339042201675616,0.6978636721101382
12,validation,0.25574927064231945,0.7507888067181447,0.8664807018728949,0.6408453079337529,0.41001520621820664,0.7690934707448436
12,test,0.21978918903862033,1.0355457854628796,1.0176177010365335,0.8627777559012366,-0.7616156263844116,0.6796342685065329
13,validation,-0.09939592378705009,1.1090538728033745,1.0531162674668806,0.7772960865168811,-0.5607415468489731,0.8981439359534186
13,test,-0.011839827336277642,1.3429786591529764,1.1588695608880994,0.9325921309389843,-0.8513167731529445,0.7917992132817304
14,validation,0.26506832364324273,0.7413878879063558,0.8610388422750485,0.6866288310562322,0.5319322631515851,0.6821890900973802
14,test,0.43671064064904397,0.7476337342124343,0.8646581603225834,0.6811718731713443,-0.4088149148652682,0.7672549860867355
15,validation,0.3818950782029755,0.6235348362548584,0.7896422204105213,0.604902898274371,0.023479011112134907,0.7952500973447175
15,test,-1.4723017123982816,3.281397261737545,1.8114627409189363,1.6471198889729182,-1.6332457158554408,0.7890198048458905
16,validation,0.4267075763119079,0.5783286703028259,0.760479237259523,0.636471409058184,-0.5630282991080224,0.5150604982901267
16,test,0.4240602509335506,0.7644241421000156,0.8743135262021374,0.7384740585063716,-0.6495301849394421,0.5893717952859994
17,validation,0.6286427652170969,0.37461952561259976,0.6120617008215755,0.4994690414246279,-0.3877307236634525,0.47716104220662486
17,test,-0.6620210579981267,2.2059408531391274,1.4852410084357108,1.3614102361374976,-1.3338847931038167,0.6578008523317752
18,validation,0.3647462423740775,0.6408343207977831,0.800521280665157,0.6450462903263791,0.405951156357474,0.695162337952901
18,test,0.23495221223113927,1.0154204494110235,1.0076807279148607,0.7976172773741264,-0.7298575667553765,0.6996623278067383
19,validation,0.514419511511488,0.4898462052332035,0.6998901379739563,0.4807661585703965,-0.0444113371777796,0.7037512815031133
19,test,0.5655494412727171,0.5766306218285673,0.7593619833969615,0.6353019469429717,-0.3872999469235174,0.6577524134119435
20,validation,0.1043313236946739,0.9035369267000322,0.9505455942247232,0.7300747141666967,0.6404462424657723,0.7077010474937853
20,test,0.48100605081804604,0.6888420273155015,0.8299650759613332,0.6277430013933619,-0.1850184239296634,0.8147576770037092
21,validation,0.10662742215805299,0.9012206575216122,0.9493264230609049,0.7920578673343459,0.6698318464567284,0.6777925286456249
21,test,0.5360363507249117,0.6158022868495957,0.7847307097658379,0.5906562801037977,-0.3505116737040737,0.7070266788616051
22,validation,0.6657932099263181,0.3371427224976649,0.5806399249945399,0.44393073474632355,-0.3227623733555407,0.48630955007351884
22,test,0.5503533163939605,0.5967998925596069,0.7725282470949569,0.6204317953585553,-0.4546379592998955,0.6289663298907475
23,validation,0.5393122016447134,0.464734838345786,0.6817146311659931,0.5244680506685796,-0.2075663207548227,0.6542474404007801
23,test,0.5831228546280303,0.553306061490999,0.7438454553810213,0.5851298432684409,-0.19467619339183453,0.7229567747355439
24,validation,0.5304033013370524,0.4737220013639966,0.6882746554711983,0.4890125870690929,0.1452889709631097,0.6778428215815046
24,test,-0.5015143361031393,1.9929060463129962,1.4117032430057659,1.2440589691623651,-1.2206877492644963,0.7140795068351525
25,validation,0.6467971936215544,0.3563056145866798,0.5969134062715293,0.4073295062435271,-0.01894916870023624,0.6011153575151921
25,test,0.5285175956983519,0.6257816603346771,0.7910636259711838,0.6525226280927247,-0.3923166059706056,0.6917480669079765
26,validation,0.3568642130047951,0.6487855920444882,0.8054722788802158,0.6723819048115333,0.49108869689434304,0.6432678340390828
26,test,-0.004812191508349439,1.3336511305400216,1.1548381404075732,0.9750473825189682,-0.9614709667409661,0.6441959631768016
27,validation,0.6686280547132054,0.3342829742289394,0.5781720974147225,0.43080145687000526,0.08841746954200273,0.5756837409824842
27,test,0.014498965105338102,1.3080201259925754,1.1436870752057031,0.9920803377639754,-0.9710590066155138,0.6084457951457616
28,validation,0.20393013520503178,0.8030631617512988,0.896137914470367,0.6584560114572596,0.024663653874926163,0.9025592905667552
28,test,-0.567257956764222,2.080165192610604,1.4422777792819954,1.2562115459782233,-1.24648133921777,0.7306601431375859
29,validation,0.7528092941646702,0.2493622212854174,0.499361814004052,0.3507816716772035,-0.009258183554719777,0.5030441572071989
29,test,0.37735840805103515,0.8264098207023751,0.9090708557105849,0.7549305121839558,-0.6339393174447774,0.6561326611395821
30,validation,0.25534782192271477,0.7511937820755902,0.8667143601415579,0.6368594123311122,0.15729746271261505,0.8587538227173014
30,test,-0.050026351915606115,1.3936622616281484,1.1805347354602271,0.9995435757899512,-0.9055113165218897,0.762752883432295
